City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
250,Leningradskiy,RU,2022-11-25 21:32:02,69.3833,178.4167,-8.25,96,100,5.53
251,Sredniy Ikorets,RU,2022-11-25 21:32:02,51.0675,39.7584,35.92,94,100,10.65
252,Palembang,ID,2022-11-25 21:32:03,-2.9167,104.7458,75.29,100,75,2.3
253,San Andres,CO,2022-11-25 21:27:08,12.5847,-81.7006,84.22,79,40,6.91
254,Kumbo,CM,2022-11-25 21:32:04,6.2,10.6667,62.46,47,61,4.47
255,Waipawa,NZ,2022-11-25 21:32:04,-41.4122,175.5153,61.75,50,18,13.76
256,Pacifica,US,2022-11-25 21:30:36,37.6138,-122.4869,73.63,49,40,5.75
257,Libusin,CZ,2022-11-25 21:32:05,50.1682,14.0546,40.12,99,75,8.05
258,Sisimiut,GL,2022-11-25 21:32:05,66.9395,-53.6735,16.05,88,95,10.31
259,Oga,IT,2022-11-25 21:32:05,46.4631,10.347,34.48,86,100,4.27
260,Saint-Georges,GD,2022-11-25 21:29:52,12.0564,-61.7485,78.53,85,100,12.84
261,The Valley,AI,2022-11-25 21:28:17,18.217,-63.0578,82.54,74,75,9.22
262,Plouzane,FR,2022-11-25 21:32:06,48.3833,-4.6167,50.05,90,75,9.22
263,Itanagar,IN,2022-11-25 21:32:06,27.1,93.6167,58.28,55,0,3.94
264,Qinzhou,CN,2022-11-25 21:32:07,21.95,108.6167,68.88,93,100,5.64
265,East London,ZA,2022-11-25 21:32:07,-33.0153,27.9116,65.17,63,100,3.47
266,Tigil,RU,2022-11-25 21:32:08,57.8,158.6667,5.25,98,97,4.61
267,Pemba,MZ,2022-11-25 21:32:08,-12.974,40.5178,79.5,83,20,6.91
268,Nadym,RU,2022-11-25 21:32:09,65.5333,72.5167,-9.42,87,100,12.08
269,Morant Bay,JM,2022-11-25 21:32:09,17.8815,-76.4093,85.62,78,20,9.53
270,Kokopo,PG,2022-11-25 21:32:09,-4.352,152.2633,82.22,71,92,5.48
271,Salalah,OM,2022-11-25 21:32:10,17.0151,54.0924,75.29,78,20,3.44
272,Banjar,ID,2022-11-25 21:33:10,-8.19,114.9675,77.18,90,100,4.03
273,Katsuura,JP,2022-11-25 21:33:11,35.1333,140.3,65.07,69,100,17.6
274,Sao Mateus Do Sul,BR,2022-11-25 21:33:11,-25.8742,-50.3828,64.27,60,20,5.7
275,Turan,VN,2022-11-25 21:33:12,16.0678,108.2208,75.18,100,20,1.14
276,Kununurra,AU,2022-11-25 21:32:30,-15.7667,128.7333,78.78,89,100,4.61
277,Daru,PG,2022-11-25 21:33:12,-9.0763,143.2092,81.84,82,100,3.76
278,Sherbakul,RU,2022-11-25 21:33:13,54.6316,72.3963,-10.7,90,6,10.74
279,Henties Bay,NA,2022-11-25 21:33:13,-22.116,14.2845,58.39,90,0,9.19
280,College,US,2022-11-25 21:33:13,64.8569,-147.8028,13.59,88,100,0.0
281,Castro Marim,PT,2022-11-25 21:33:14,37.2207,-7.4435,60.39,54,0,6.87
282,Padang,ID,2022-11-25 21:33:14,-0.9492,100.3543,76.03,87,98,2.77
283,Burgos,ES,2022-11-25 21:33:15,42.3394,-3.7079,34.21,93,0,0.0
284,Talnakh,RU,2022-11-25 21:33:15,69.4865,88.3972,-12.8,99,100,1.54
285,San Luis,AR,2022-11-25 21:33:15,-33.295,-66.3356,93.07,16,60,14.52
286,Monrovia,LR,2022-11-25 21:33:16,6.3005,-10.7969,79.16,82,3,7.99
287,Mae Sot,TH,2022-11-25 21:33:16,16.7167,98.5667,75.42,96,99,1.88
288,Skjervoy,NO,2022-11-25 21:33:16,70.0311,20.9714,24.8,54,100,7.52
289,Chalons-En-Champagne,FR,2022-11-25 21:33:17,48.9539,4.3672,42.03,91,6,5.03
290,Vestmannaeyjar,IS,2022-11-25 21:33:17,63.4427,-20.2734,44.42,70,71,15.64
